ML#,City,State,Zip 4,Zip Code,List Price,Original List Price,Close Price,Advertised Subdivision,Legal Subdivision,Status,Close Date,DOMM,DOMP,Baths All,Baths Half,Baths Full,Bedrooms,Condo Coop Fee,Cooling,Dining Kitchen,Farm,Fireplaces,Heating,HOA,HOA Fee,Lot Sqft,Total Square Footage,Townhouse Type,Type,Parking
MC8362304,SILVER SPRING,MD,,20910,399999,425000,387500,SILVERTON CODM,SILVERTON CODM,SOLD,9/25/2014,85,85,2,0,2,2,442.47,"Central Air Conditioning, Ceiling Fan(s)","Kit-Island, Liv-Din Combo",FALSE,0,Forced Air,FALSE,,,1144,,Garden 1-4 Floors,Garage
MC8420340,SILVER SPRING,MD,3316,20906,399999,408500,394500,LAYHILL SOUTH,LAYHILL SOUTH,SOLD,10/30/2014,54,145,3,0,3,6,,Central Air Conditioning,"Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,9370,0,,Detached,"DW - Circular, Drvwy/Off Str"
MC8443022,GAITHERSBURG,MD,4570,20879,399999,399999,400000,HADLEY FARMS,HADLEY FARMS,SOLD,10/27/2014,23,23,3,1,2,3,,Central Air Conditioning,"Kit-Island, Fam Rm Off Kit",FALSE,1,"Central, Heat Pump(s)",TRUE,50,6683,0,,Detached,Garage
MC8367337,GAITHERSBURG,MD,2031,20878,399990,399990,385000,QUINCE ORCHARD MANOR,QUINCE ORCHARD MANOR,SOLD,7/15/2014,4,4,2,0,2,4,,Heat Pump(s),Kit-Dining Combo,FALSE,0,Heat Pump(s),FALSE,,6002,0,,Detached,Garage
MC8276844,CLARKSBURG,MD,,20871,399990,392990,413600,CLARKSBURG VILLAGE,CLARKSBURG VILLAGE,SOLD,10/29/2014,24,24,4,1,3,4,,"Central Air Conditioning, ENERGY STAR Cooling System, Programmable Thermostat","Fam Rm Off Kit, Gourmet, Kit-Breakfast Bar, Kit-Country, Kit-Dining Combo, Kit-Island, Kit-Table Space",FALSE,0,"Forced Air, Programmable Thermostat, ENERGY STAR Heating System",TRUE,76,1400,2100,Interior,Townhouse,"Garage, Faces Rear"
MC8340482,KENSINGTON,MD,1631,20895,399990,429990,389990,NORTH KENSINGTON,NORTH KENSINGTON,SOLD,10/16/2014,138,138,3,0,3,4,,Central Air Conditioning,Liv-Din Combo,FALSE,0,Forced Air,FALSE,,5361,0,,Detached,Street
MC8424376,GAITHERSBURG,MD,4649,20879,399990,399990,408000,FLOWER HILL,FLOWER HILL,SOLD,9/26/2014,13,13,4,1,3,5,,Central Air Conditioning,"Kit-Table Space, Fam Rm Off Kit, Liv-Din Combo",FALSE,1,Forced Air,TRUE,519,9810,0,,Detached,Drvwy/Off Str
MC8329613,DAMASCUS,MD,2119,20872,399950,399950,385000,SWEEPSTAKES,SWEEPSTAKES,SOLD,6/20/2014,19,19,4,1,3,4,,"Central Air Conditioning, Ceiling Fan(s)",Sep Dining Rm,FALSE,1,Heat Pump(s),FALSE,,11453,3120,,Detached,Garage
MC8348562,SILVER SPRING,MD,2643,20902,399950,399950,399950,WHEATON HILLS,WHEATON HILLS,SOLD,7/31/2014,32,32,2,0,2,4,,Central Air Conditioning,Sep Dining Rm,FALSE,0,Forced Air,FALSE,,6275,0,,Detached,Street
MC8264417,KENSINGTON,MD,2904,20895,399900,419900,386500,HOMEWOOD,HOMEWOOD,SOLD,6/24/2014,95,146,2,0,2,3,,Central Air Conditioning,Sep Dining Rm,FALSE,1,Forced Air,FALSE,,6900,0,,Detached,Drvwy/Off Str
MC8287450,SILVER SPRING,MD,1533,20903,399900,425000,399000,HILLANDALE FOREST,HILLANDALE FOREST,SOLD,8/8/2014,157,235,4,0,4,6,,Central Air Conditioning,Kit-Dining Combo,FALSE,1,Forced Air,FALSE,,11119,0,,Detached,Drvwy/Off Str
MC8286283,GERMANTOWN,MD,2213,20874,399900,479900,360000,DARNESTOWN OUTSIDE,DARNESTOWN OUTSIDE,SOLD,9/30/2014,195,195,3,0,3,3,,"Central Air Conditioning, Heat Pump(s)","2nd Kitchen, Kit-Breakfast Bar, Kit-Country, Sep Dining Rm",FALSE,1,"Forced Air, Heat Pump(s)",FALSE,,68201,2640,,Detached,"Carport, Drvwy/Off Str, Asphalt Driveway, Private 1-10 Spaces"
MC8299941,GAITHERSBURG,MD,3404,20879,399900,399900,390000,MIDDLEBROOK HILL,MIDDLEBROOK HILL,SOLD,6/23/2014,36,36,3,0,3,5,,Central Air Conditioning,"Gourmet, Kit-Island",FALSE,1,Forced Air,FALSE,0,11371,1151,,Detached,"Paved Driveway, Garage"
MC8297988,ROCKVILLE,MD,1119,20855,399900,415000,399900,MILL CREEK TOWNE,MILL CREEK TOWNE,SOLD,6/30/2014,61,61,3,0,3,4,,Central Air Conditioning,"Kit-Table Space, Sep Dining Rm",FALSE,1,Forced Air,FALSE,,22987,0,,Detached,"Carport, Drvwy/Off Str"
MC8300972,BETHESDA,MD,,20814,399900,419900,390000,CHASE AT BETHESDA CODM,CHASE AT BETHESDA CODM,SOLD,6/30/2014,83,83,1,0,1,1,390,Central Air Conditioning,"Kit-Breakfast Bar, Kit-Family Combo",FALSE,0,Heat Pump(s),FALSE,,,724,,Hi-Rise 9+ Floors,Garage
MC8308317,ROCKVILLE,MD,5937,20850,399900,415000,390000,KING FARM TWO BAILEYS CO,KING FARM TWO BAILEYS CO,SOLD,6/24/2014,56,56,2,0,2,3,422,"Central Air Conditioning, Ceiling Fan(s)","Kit-Breakfast Bar, Kit-Family Combo, Kit-Island, Sep Dining Rm, Eat-In Kitchen",FALSE,1,Central,FALSE,,,1770,,Garden 1-4 Floors,"Street, Permit Required, Unassigned"
MC8325658,GERMANTOWN,MD,1713,20876,399900,399900,377500,FOX CHAPEL,FOX CHAPEL,SOLD,6/27/2014,4,4,3,1,2,4,,Central Air Conditioning,Kit-Table Space,FALSE,1,Forced Air,FALSE,,22319,0,,Detached,Garage
MC8328069,CLARKSBURG,MD,9385,20871,399900,429900,395000,CLARKSBURG VILLAGE,CLARKSBURG VILLAGE,SOLD,7/7/2014,55,55,3,1,2,3,,"Central Air Conditioning, Programmable Thermostat","Gourmet, Kit-Breakfast Bar, Sep Dining Rm",FALSE,0,"Forced Air, Programmable Thermostat",TRUE,76,1500,1856,Interior,Townhouse,"Garage, Drvwy/Off Str, Street"
MC8327857,ROCKVILLE,MD,2005,20853,399900,399900,400000,BEL PRE WOODS,BEL PRE WOODS,SOLD,6/30/2014,29,29,3,0,3,4,,Central Air Conditioning,Sep Dining Rm,FALSE,0,"Forced Air, Central",FALSE,,9000,0,,Detached,Drvwy/Off Str
MC8328964,TAKOMA PARK,MD,6808,20912,399900,399900,392000,TAKOMA PARK,TAKOMA PARK,SOLD,7/31/2014,47,47,2,0,2,3,,Central Air Conditioning,"Kit-Dining Combo, Kit-Table Space, Eat-In Kitchen",FALSE,1,"Hot Water, Radiator",FALSE,0,7900,0,,Detached,"Drvwy/Off Str, Free, Garage, Paved Driveway, Street, Under Home Parking, Concrete Driveway"
MC8335388,TAKOMA PARK,MD,4714,20912,399900,439000,387500,TAKOMA PARK,TAKOMA PARK,SOLD,8/7/2014,71,71,4,2,2,3,,Central Air Conditioning,Kit-Table Space,FALSE,0,Forced Air,FALSE,,1500,0,Quad,Attach/Row Hse,Garage
